ENGLISH ,TARAON/TAWRA
Who's that?,achiwe sha?
Wood burns.,masung gru a
You decide.,nyu lana ja wedi
You may go.,nyu bona
You missed.,nyu ji chungyum shaku
You owe me.,nyu haa hungya sha
You're big.,nyu tyung darung
You're old.,nyu tyung tapau
You've won!,nyu haneya
All is well.,mei mi pra
Anyone home?,ang sha eia?
Are we done?,ning dungku ye?
Are we lost?,ning kamaku ye?
Are we safe?,ning pra ye?
Are you Tom?,nyu tom ye?
Are you fat?,nyu mei darung ye?
Are you fit?,nyu che ye?
Are you hot?,nyu kaiha ye?
Are you mad?,nyu tamidi ye?
Are you new?,nyu mi hanadyabo ye?
Are you shy?,nyu halaushi ye?
Ask anybody.,shamu ahuna
Ask for Tom.,tom ahumalana
Be creative.,gahi bakasana
Be careful.,pra whityuna
Beer's good.,yuu pra
Boys do cry.,muwa aa mu khro
Break it up!,hadyuna
Can it wait?,kalyu hane ye?
Can we come?,ning hana hane ye?
Can we help?,ning babrung hane ye?
Can we sing?,ning tashe hane ye?
Can we talk?,ning maro hane ye?
Can you see?,ning whi hane ye?
Come closer.,ga hanana
Come get it.,hanaya shina
Come see me.,hanaya haa whina
Contact Tom.,tom du maroga lana
Cook for me.,haa ba haya na
Count me in.,ha mu chaina
Count on it.,cha mu chaina
Did Tom cry?,tom khro ye?
Did Tom die?,tom sheiku ye?
Did Tom eat?,tom thaya ye?
Did Tom run?,tom chow a ye?
Did Tom try?,tom jiya ye?
Do as I say.,haa ladi dyue jina
Do it again!,buedu jina
Don't cheat.,mei kapa baya
Don't do it!,ali jiya
Don't fight.,khugaya
Don't go in.,lumku boya
Don't laugh.,maara ya
Don't leave!,bo atiya
Don't panic!,rai ya
Don't shoot!,o ya
Don't smile.,maara ya
Don't stare.,whityo ya
Don't worry.,we maya
Eat with us.,ning du ingna
Finish this.,awe dung jina
Flip a coin.,pisha taji haduna
Forgive Tom.,tom maf jina
Get in here!,anyu hanana
Get serious.,rumara jia
Get serious.,byu ina
Get started.,nyu hayu jina
Get to work.,kampa bona
Go find Tom.,tom malagena
Go find out.,boya gu whigena
Go for help.,boya gu babrung gena
Go home now.,ang tya bonana
Go that way.,a manyu bona
Go to sleep.,ingya bona
Go with Tom.,tom du bona
Have a look.,chauge whine
Have a seat.,ing dina
Have we met?,ning taruga ke?
He can come.,muwa aa cha hana hanebiya
He can read.,muwa aa cha tako purihane
He can swim.,muwa aa cha machie yohane
He found it.,muwa aa cha chung ya
He got away.,muwa aa de atikuya
He has come!,muwa aa cha hana hoya
He has guts.,muwa aa cha rei lya yum
He helps us.,muwa aa cha ning babrung a
He is alone.,muwa aa cha chapa
He is eight.,muwa aa cha kanung lyum
He is happy.,muwa aa cha halyo hoya
He is hated.,muwa aa cha shamu pra weyum
He is lying.,muwa aa cha lahalue a
He is young.,muwa aa cha shabre a
He loves us.,muwa aa cha ning pra we
He needs it.,muwa aa cha dhue a
He stood up.,muwa aa cha de a
He was busy.,muwa aa cha tyung wephreyum
He's a liar.,muwa aa cha lahalue
He's asleep.,muwa aa cha ing hoya
He's coming.,muwa aa cha hana ha
He's crying.,muwa aa cha khro a
He's loaded.,muwa aa cha glai dumku hoya
He's my age.,muwa aa cha haa dyuege
He's not in.,muwa aa cha haneyum
He's strong.,muwa aa cha pre aha
He's wasted.,muwa aa cha kam ha aa
Hello again.,beido alai
Here I come.,anyu haa hanadi
Here she is!,anyu miya aa cha hanaha
Here we are!,ning me anyu
"Hi, I'm Tom.",alai! Tom ha
How are you?,pra eidi ye?
How curious!,kadyue kasa myu a
How is life?,nyu pra eidi ye?
I am a cook.,haa tape hanaya mei
I am a singer.,haa tasheya mei
I am a dancer.,haa biya mei
I am afraid.,haa raishia
I am better.,haa tya pra shaya
I am coming.,haa hanadi
I am dozing.,haa ingchum a
I am eating.,haa thadi
I am joking.,haa amu ladi
I am on foot.,haa gru kya chaidi
I am single.,haa kapaa
I am taller.,haa kalung yu
I asked Tom.,haa tom ahudyabo
I asked why.,jaadi la ahudyabo
I assume so.,ali nyu kya
I blame Tom.,tom kanum shaya
I bought it.,haa brai dyabo
I burned it.,haa prue dyabo
I can do it.,haa jihane
I can't eat.,haa tha haneyum
I can't fly.,haa yum haneyum
I can't say.,haa maro haneyum
I cut class.,haa takopa boyum
I didn't go.,haa bodyum
I don't lie.,haa lahalue dyum
I eat a lot.,haa due thadi
I eat peach.,haa amshay thadi
I eat fruit.,haa masung shei thadi
I feel fine.,haa tya pra shaya
I feel good.,haa pra shanaya
I feel well.,haa naara pranaya
I felt cold.,haa julai a
I felt dumb.,haa maro haneyum
I fired Tom.,tom we tyung khamyushia
I forgot it.,haa we sakuya
I found Tom.,haa tom katyung dyabo
I found you.,haa nyu katyung dyabo
I got angry.,haa khamyushia
I hate milk.,haa gungkhi tyumwha yum
I hate sand.,haa tapyei pra weshiyum
I hate that.,haa awe pra weshiyum
I hate them.,haa chanung pra weshiyum
I hate this.,haa awe pra weshiyum
I have 300.,hadu pisha malum kasung aha
I have cash.,hadu pisha aha
I have eyes.,haa balum aha
I have food.,haa tape thaliya
I have wine.,haa yuu tyumliya
I heard you.,haa nyu tharung tyung
I hesitated.,haa jiwhayum
I hired Tom.,haa tom kahrue amedyabo
I knew that.,haa kasadi ki
I know that.,haa kasadi  
I know them.,haa chanung kasadi
I know this.,haa awe kasadi 
I like both.,haa kaing mei pra wedi
I like cake.,cake thaya pra wedi
I like cats.,haa majarai pra wedi
I like dogs.,haa kwau pra wedi
I like fish.,haa taa pra wedi
I like milk.,haa gungkhi pra wedi
I like rice.,haa kekaw pra wedi
I like snow.,haa awrai pra weshi
I like that.,haa achiwe pra wedi
I like them.,haa chanung pra wedi
I like this.,haa awe pra wedi
I like wine.,haa yuu pra wedi
I liked Tom.,haa tom pra wedi
I live here.,haa a eidi
I lost face.,haa halau taru ya
I love Mary.,mary haa pra weshi
I love beef.,machow tabre haa pra weshi
I love cake.,cake haa pra wedi
I love dogs.,haa kwau kashaing shi
I love kids.,haa aa kalyo kashaing shi
I love life.,haa asing we pra weshi
I love math.,haa math pra weshi
I love rock.,haa phla darung pra weshi
I love snow.,haa miya aa cha pra wedi
I love them.,haa chanung pra weshi
I loved her.,haa miya aa cha pra wedi
I loved you.,haa nyu pra wedi
I made rice.,haa kekaw haya dyabo
I made that.,haa awe badyabo
I must obey.,haa takue thurunga
I need help.,haa babrungna
I need more.,haa ingdu dhue a
I need them.,haa chanung dhue a
I need time.,haa time dhue a
I never bet.,haa kadigumu lada dyum
I never win.,haa kadigumu haneyum
I oppose it.,haa dyung dyum
I overslept.,haa raa bali ing kuya
I read lips.,haa thanu takue kasadi
I recovered.,haa tya prashanaya
I said stop.,haa jiya ladi
I said that.,haa lyadyabo
I saw a dog.,haa kwau whityung dyabo
I saw to it.,haa whi brung dyabo
I see a boy.,haa muwa aa whityung dyabo
I smell gas.,haa tamung nung
I surrender.,haa matya di
I trust Tom.,haa tom dyungdi
I trust him.,haa cha dyungdi
I trust you.,haa nyu dyungdi
I want Mary.,mary haa dhue a
I want cash.,haa pisha dhue a
I want eggs.,haa tyu myei dhue a
I want kids.,haa aa dhue a
I want mine.,haa haba dhue a
I want more.,haa ingdu ahue a
I want that.,haa achiwe dhue a
I want them.,haa achime dhue a
I want this.,haa awe dhue a
I want you.,haa nyu dhue a
I was alone.,haa pa eidyabo
I was angry.,haa khamyu shia
I was awake.,haa zhue dyabo
I was bored.,haa hwayum jia
I was dizzy.,haa a yei
I was drunk.,haa yuu yumhoya
I was fired.,haa khamyu hoya
I was happy.,haa halyo shia
I was hired.,haa kahrue ga
I was lucky.,haa kopat pra
I was lying.,haa lahalue di
I was moved.,haa tyung halyoshia
I was stuck.,haa too kuya
I was ready.,haa botyune
I was there.,haa aeli khi dyabo
I was tired.,haa whayum jia
I was upset.,haa prayum weshia
I was wrong.,haa marohaa dyabo
I went home.,haa ang bona dyabo
I will help.,haa babrung ne
I will obey.,haa tharung ne
I will stay.,haa ene
I will wait.,haa kalyune
I won again.,haa bhue do haneya
I won't die.,haa shei biyam
I work here.,haa ake kam jidi
I'd ask Tom.,haa tom ahudyabo
I'll attend.,haa hanene
I'll buy it.,haa braine
I'll cancel.,haa mara kune
I'll decide.,haa we lyanane
I'll fix it.,haa tyae kune
I'll follow.,haa amene
I'll get by.,haa awe chung biya
I'll get in.,haa lumku hanane
I'll get it.,haa chung biya
I'll get up.,haa ana dyune
I'll go see.,haa boya whigene
I'll manage.,haa kade kigumu jipine
I'll scream.,haa gra ting kune
"I'm 17, too.",haa mu kanung halue we
I'm a baker.,haa haya ya mei
I'm a child.,haa aa ha
I'm a cobler.,haa grukhanyum rudi
I'm a loser.,haa haneyum
I'm a nurse.,haa nurse ha
I'm at home.,haa ang ke eidi
I'm careful.,haa wekaya eidi
I'm certain.,haa che wekasa
I'm curious.,haa kasamyu a
I'm dancing.,haa beidi
I'm healthy.,haa tyung tho pra eidi
I'm wealthy.,haa tyung dya
I'm humming.,haa habegu rungdi
I'm in debt.,"haa pisha hadasoya, hung haneyum"
I'm in here.,haa a nyu eidi
I'm in love.,haa mei pra wedi
I'm in pain.,haa tyung nyaha
I'm injured.,haa tyung dyuhoya
I'm jealous.,haa karuedi
I'm leaving.,haa bodi
I'm married.,haa mua aa ang boliya
I'm nervous.,kade jiya kasayum
I'm no liar.,haa lahalue dyum
I'm not Tom.,haa tom yum
I'm not fat.,haa mei darang yum
I'm not old.,haa tapau yum
I'm not shy.,haa halau shiyum
I'm not you.,haa nyu yum
I'm patient.,haa meinya ha
I'm popular.,haa mei mi kasaga
I'm relaxed.,haa aram jidi
I'm resting.,haa khadi
I'm retired.,haa apishi kam dung taliya
I'm sad now.,haa tawe prayum weshia
I'm selfish.,haa gaa bane wedii
I'm serious.,haa amu ladyum
I'm shocked.,haa hrue kudyabo
I'm sincere.,haa takeu tyung dyungdi
I'm so cold.,haa zuua
I'm so full.,haa kayung thadyu hoya
I'm starved.,haa tyung shityuhoya
I'm stuffed!,haa halung kuhoya
I'm stunned.,haa hrue kudyabo
I'm talking.,haa marodi
I'm the law.,"haa jaladi, wali che sha"
I'm thirsty.,haa machae tyum muya
I'm touched.,haa tawe lumkoo pra wedyabo
I'm trapped.,haa rokuhoring ya
I'm unarmed.,haa jamu awa shayum
I'm unhappy.,haa tyum prem weshia
I'm unusual.,haa dyue ge shamu eyum
I'm up here.,haa taji nyu eidi
I'm useless.,haa kam ha a mei
I'm wealthy.,haa tyung dya tha mei
I'm winning.,haa hanedi
I'm wounded.,haa awashahoya
I've failed.,haa haneyum
I've got it.,haa chungdyabo
I've had it.,haa chungliya
Ignore them.,tharung halikuna
I'm fool,haa kapa ha
Is Tom busy?,tom wephre ye?
Is Tom good?,tom praye?
Is Tom here?,tom hana ho ye?
Is Tom next?,tom haa pling ye?
Is Tom sick?,tom naara ye?
Is Tom sure?,tom jumla ye?
Is Tom tall?,tom mei kalung ye?
Is Tom well?,Tom pra ea ye?
Is he right?,chawe che la ye?
Is it Tom's?,awe tom ba ye?
Is it foggy?,tum bum a ye?
Is it tasty?,thapra ye?
Is it there?,achi nyu ye?
Is it to go?,achi nyu boya ye?
Is it white?,awe lyo ye?
Is it windy?,harang a ye?
Is it yours?,awe nyu ba ye?
Is she gone?,miya aa cha boli ye?
Is she nice?,miya aa cha tawe pra ye?
Is that for Tom?,awe tom ba ye?
Is that fun?,halyoshia ye?
Is that new?,awe mi ye?
Is that you?,awe nyu ye?
Is this Tom?,awe tom ye?
Is this art?,awe baho darai ye?
Is this old?,awe um ye?
It can't be!,awe sha biyam
It happened.,awe sha hoya
It is on me.,awe haa tawe
It may rain.,kara jabia
It may snow.,awre lyabia
It saved me.,awe haa shaityubogu halli ya
It was cold.,zuua ki
It was dark.,kanua ki
It was real.,awe jum ki
It'll be OK.,awe prana biya
It'll break.,awe gabiya
It's 50 rs.,awe malum manga
It's Monday.,tahing we mongolbar
It's a fake.,awe amu laga
It's a fish.,awe taa
It's a joke.,amu laga rumara jiga
It's a pity.,kashaing the awe
It's a rule.,awe meimi dyungya shabiya
It's boring.,awe herashia 
It's broken.,awe dyubiya
It's cloudy.,tahing tum bum
It's for me.,awe haa ba
It's for us.,awe ning ba
It's fertile.,awe khalai pra
It's locked.,khalung bunhoya
It's my job.,awe haa kam
It's no use.,ja kamu hanabiyam
It's poison.,awe theii
It's secret.,awe shamu laya
It's simple.,awe tyung aram
It's winter.,awe zuu tadyow
It's stupid.,awe tyung kapa
It's urgent.,awe tagru dhuea
Jump across.,awe par doona
Just say no.,dhue yum lana
Just try it.,dhue hawrena
Keep moving.,chae talana
Keep trying.,dhue hawrelana
Let me help.,haa nyu modod ji ne
Let me know.,haa atyana
Let me talk.,haa marone
Let's begin.,ning hayu jike
Let's check.,ning whiringke
Let's dance.,ning bheiringke
Let's do it!,ning jiringke
let's go up,ning tajee boke
Let's play,ning khiliringke
Let's relax.,ning aram jike
Let's split.,ning pityo sha ke
Let's start!,ning bhuedu jike
Let's study.,ning tako purike
Life is fun.,asing we tyung halyoshi
Look at Tom.,tom whi na
Look at him.,awe whi na
Look closer.,ga whina
Lunch is on.,abehing tapey shaliya
Make a list.,ja dheua zuna
Make a wish.,ja wedi taweke wena
Many thanks.,tyung khodemu
May I begin?,haa shuru jibidyo ye?
May I smoke?,haa sigri dune ya?
Memorize it.,tawe ke mathung wekasana
Money talks.,pisha ahabo jaladu sha
Nice timing.,pra che shuru sha
No means no.,sham lalibo sham hi
No one came.,shamu hanayum
No one left.,shamu boyum
Nobody came.,shamu hanahoyum
Nobody died.,shamu sheiyum
Nobody knew.,shamu kasayum
Nobody lied.,shamu la halagyum
Now I'm sad.,tya haa tyung prayum weshi
Now you try.,tya nyu ji hawrena
"OK, you win.","o jum a, nyu haneya"
OK. I agree.,"o jum a, haa dyung di"
"Oh, come on.","o jum a, ae hanana"
Pick a card.,tako a taji rona
Trees grow.,masung asung a
Please come.,hanana ae
Please sing.,tashena
Please stop!,jiya
Put it back.,bhuedo sonana
Put it down.,bari sona
Release Tom.,Tom matyana
Release him.,tom matya tena
Return home.,ung hanana
Say goodbye.,pra bona lana
Say nothing.,jamu laya
Send Tom in.,tom we angke awhena
Shall we go?,ning boyam ye?
She bit him.,cha haa thueya
She woke up.,cha anaya dyuya
She's happy.,cha tyung halyo hoya
Show him in.,cha ake gena
Start again.,buedu jina
Step inside.,lumkoo hanana
Stop moving!,api ya
Stop trying.,dhue hawreya
Take a bite.,ing ge krungna
Take a look.,ing whena
Take a seat.,ing dena
Take a walk.,ing cheina
Take action.,ji hawrena
Take my car.,haa garai shibona
Talk slower.,abe marona
Talk to Tom.,tom du marona
Tell Tom no.,tom sham lana
That is all.,ali ge ne
That's cool.,awe tyung theha
That's dumb.,awe maro kasayum
That's free.,awe shaba muyum
That's hers.,awe chaba
That's huge.,awe tyung darung
That's life.,awe ning asing
That's mine.,awe haaba
That's okay.,awe khubia
That's over.,awe shaliya
That's true.,awe jumnyu
That's wise.,awe tyung kawe kanung
The TV's on.,TV rung a
There he is.,achi cha eia
There it is!,achinyu aha
There's Tom.,to achinyu ea
They burned.,chanung tamung pruega
They called.,chanung amega
They danced.,chanung bhuega
They hugged.,chanung rodaga
They kissed.,chanung kashaing daga
They may go.,chanung bona biya
They saw me.,chanung haa whityung ya
They smiled.,chanung maraga
They waited.,chnaung kalyu ya
They walked.,chanung chei ga
They're bald.,chanung kuru kow
They're new.,chanung mei hanaya
Think again.,bhuedu welyanana
This is Tom.,awe tom
This is big.,awe tyung darung
This is his.,awe cha ba
This is new.,awe tyung mi
This stinks.,awe prayum nung a
Tom ate out.,tom mi a
Tom beat me.,tom haa hwau a
Tom blinked.,tom balum ching
Tom came by.,tom gaa hanaya
Tom came in.,tom ang ke hanaya
Tom can win.,tom hanebiya
Tom changed.,tom mara kuya
Tom cheated.,tom lahalue a
Tom cheered.,tom halyo a
Tom clapped.,tom atyo tabyei a
Tom coughed.,tom doo a
Tom decided.,tom wehwre
Tom drowned.,tom machei row kuya
Tom escaped.,tom lityung ya
Tom fainted.,tom lya kuya
Tom gave up.,tom ji maraa kuya
Tom gets it.,tom awe chung ya
Tom giggled.,tom mara jae
Tom got mad.,tom tami kuya
Tom groaned.,tom mathung gra
Tom had fun.,tom halyo haya
Tom hurt me.,tom haa prayum jia
Tom inhaled.,tom shue a
Tom is back.,tom hana naya
Tom is bald.,tom kuru thung ayum
Tom is busy.,tom tyung kam aha
Tom is calm.,tom misha ea
Tom is cold.,tom maro dayum
Tom is cool.,tom tawe pra
Tom is cute.,tom kasha ing shia
Tom is gone.,tom boiya
Tom is down.,tom bari bobo
Tom is evil.,tom tawe khanyum
Tom is fair.,tom mei lyo
Tom is fast.,tom tyung tagru chow
Tom is fine.,tom pra eia
Tom is full.,tom kayung blunghoya
Tom is glad.,tom halyo hoya
Tom is good.,tom tawe pra
Tom is here.,tom a ea
Tom is home.,tom ang ea
Tom is hurt.,tom awa shahoya
Tom is kind.,tom tawe pra
Tom is last.,tom shadimu mamyu
Tom is late.,tom mamyu hanaya
Tom is lazy.,tom hera a
Tom is lost.,tom kamakuya
Tom is loud.,tom mathung maroa
Tom is mean.,tom gabane we
Tom is nice.,tom pra 
Tom is nuts.,tom tamei
Tom is poor.,tom dyayum
Tom is rich.,tom dya 
Tom is rude.,tom tawe brara
Tom is safe.,tom jamu shabiyam
Tom is sick.,tom naara 
Tom is slow.,tom tyung habe
Tom is sure.,tom che la
Tom is tall.,tom mei kalung 
Tom is thin.,tom mei a aa 
Tom is tidy.,tom tyung khrea
Tom is vain.,tom kam ha aa
Tom is weak.,tom grung hoya
Tom is wise.,tom tyung kasa
Tom kneeled.,tom we maara
Tom knew it.,tom kasa ki
Tom laughed.,tom maara 
Tom listens.,tom tharung a
Tom made it.,tom jiya
Tom may die.,tom sheibiya
Tom may win.,tom hanebiya
Tom noticed.,tom whityung ya
Tom paid me.,tom haa pisha hunga
Tom ran off.,tom chow atiku bo
Tom refused.,tom dyung yum
Tom relaxed.,tom aram jia
Tom said no.,tom sham la 
Tom saw her.,tom miya aa whe
Tom saw him.,tom mua aa whe
Tom saw you.,tom hyu whe
Tom shot me.,tom haa okuya
Tom shouted.,tom mathung graa
Tom slipped.,tom shuble kuya
Tom sneezed.,tom masue hoya
Tom stopped.,tom kalyue hoya
Tom teaches.,tom tako tawhi
Tom told me.,tom haa atyaya
Tom told us.,tom ning atyaya
Tom took it.,tom shikubo
Tom tripped.,tom lyakuya
Tom vomited.,tom miea
Tom was hot.,tom shabre whishia
Tom was mad.,tom tami a
Tom was out.,tom habung bo
Tom was sad.,tom khudyow hoya
Tom was shy.,tom halue a
Tom will go.,tom bobiya
Tom'll call.,tom ame biya
Tom'll come.,tom hanabiya
Tom'll help.,tom babrung biya
Tom'll know.,tom kasa biya
Tom'll lose.,tom kamabiya
Tom'll quit.,tom maarabiya
Tom'll stay.,tom ebeya
Tom'll talk.,tom marobiya
Tom'll wait.,tom kalyubiya
Tom's alive.,tom asung ea
Tom's alone.,tom chapa ea
Tom's angry.,tom khamyo hoya
Tom's awake.,tom jue hoya
Tom's bored.,tom hera hoya
Tom's crazy.,tom tyung tajue
Tom's drunk.,tom yuu yumhoya
Tom's dying.,tom sheia
Tom's funny.,tom rumara jia
Tom's great.,tom tawe tyung darung
Tom's happy.,tom tyung halyo a
Tom's lying.,tom lahalue a
Tom's older.,tom tajai yu
Tom's right.,tom che la
Tom's old.,tom tapau hoya
Tom's sorry.,tom khudyow ho 
Tom's tipsy.,tom yuu yum hoya
Tom's tough.,tom dyung hoya
Tom's upset.,tom tawe prayum weho
Tom's weird.,tom tawe pita
Tom's wrong.,tom che yum
Tom's young.,tom shabre  
Trust in me.,haa takau tharung na
Try this on.,awe ji hawre kuna
Turn around.,achima yuena
Turn it off.,awe poya
Turn on TV.,tv pona
Vote for me!,haa vote tena
Wait for us.,ning kalyuna
Wake Tom up.,tom majhue na
Walk slowly.,habe chaina
War is hell.,haduga bo khanyum mla
Was I wrong?,haa prayum jiya ye?
Was it cold?,juu a ye?
Was it good?,pra ye?
We all know.,ning me kasa
We all work.,ning me babrung di
We are even.,ning me dyuega
We are here.,ning me a eidi
We are late.,ning raa shaya
We ate eggs.,ning tyu mayi thaya
We broke up.,ning maara gaya
We can talk.,ning maro hane
We can wait.,ning kalyu hane
We can't go.,ning bo haneyum
We found it.,ning chung ya
We help Tom.,ning tom babrung di
We know Tom.,ning tom kasadi
We know him.,ning muwa aa cha kasadi
We know why.,ning jaba kasadi
We know you.,ning nyu kasadi
We like Tom.,ning tom pra weshi
We love Tom.,ning tom kashaing shi
We miss Tom.,ning tom wetyung a
We miss you.,ning nyu wetyung a
We hate you.,ning nyu prayum weshi a
We must run.,ning chow ya shabiya
We need Tom.,ning tom dhue a
We need you.,ning nyu dhue a
We promised.,ning jihung ne
We remember.,ning whetyung a
We sat down.,ning bari diya
We stole it.,ning akhowya
We survived.,ning lii ya
We want Tom.,ning tom dhue a 
We want one.,ning brage dhue a
We'll be OK.,ning pra shana biya
We'll check.,ning whiku ya
We'll dance.,ning biya
We'll do it.,ning jiya
We'll drive.,ning kheya
We'll fight.,ning hadugaya
We'll hurry.,ning matyudu
We'll share.,ning hangda gaya
We'll shoot.,ning tyoya
We'll stand.,ning deya
We'll start.,ning hayu jiya
We're alone.,ning kapaa
We're armed.,ning du gehavaue aha
We're awake.,ning juedi
We're bored.,ning whayum jia
We're broke.,ning pityo eidi
We're clean.,ning tyung sopa eidi
We're close.,ning ga eidi
We're dizzy.,ning ayai a
We're dying.,ning shei di
We're early.,ning tagru hanaya
We're going.,ning bodi
We're happy.,ning halyoshia
We're human.,ning mei ha
We're saved.,ning li ya
We're tired.,ning whayum jia
We're upset.,ning tawe prayum weshi
We're young.,ning shabre
What a bore!,kade due wham jia
What a mess!,kadedue malae hoya
What a pity!,kadedue kasha ingya
What an ego!,kachue di jia
What's good?,jadarai pra?
What's next?,alibo jadarai?
What's that?,achiwe jadarai?
What's this?,awe jadarai?
Where is he?,muwa aa hanu eia?
Where is it?,hanu aha
Where's Tom?,tom hanu ea?
